-- sp_help Recordset 1

Name	Owner	Type	Created_datetime	
SIGN	dbo	user table	28/02/2026 08:21:21 ق.ظ


-- sp_help Recordset 2

Column_name	Type	Computed	Length	Prec	Scale	Nullable	TrimTrailingBlanks	FixedLenNullInSource	Collation	
DEFAULT on column ANB_HAVL_FROSH	DF_SIGN_ANB_HAVL_FROSH	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column ANB_HAVL_MODIR	DF_SIGN_ANB_HAVL_MODIR	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column ANB_KHOROG_ANB	DF_SIGN_ANB_KHOROG_ANB	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column ANB_KHOROG_MODIRT	DF_SIGN_ANB_KHOROG_MODIRT	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column ANB_KHOROGS_ANB	DF_SIGN_ANB_KHOROGS_ANB	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column ANB_KHOROGS_MODIRT	DF_SIGN_ANB_KHOROGS_MODIRT	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column ANB_RASID_ANB	DF_SIGN_ANB_RASID_ANB	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column ANB_RASID_QC	DF_SIGN_ANB_RASID_QC	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column ANB_TOLID_ANB	DF_SIGN_ANB_TOLID_ANB	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column ANB_TOLID_MODIRT	DF_SIGN_ANB_TOLID_MODIRT	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column ANB_TOLID_QC	DF_SIGN_ANB_TOLID_QC	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column FFR_FROOSH	DF_SIGN_FFR_FROOSH	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column FFR_HESAB	DF_SIGN_FFR_HESAB	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column FFR_MODIR	DF_SIGN_FFR_MODIR	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column FFRB_ANB	DF_SIGN_FFRB_ANB	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column FFRB_FROOSH	DF_SIGN_FFRB_FROOSH	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column FFRB_HESAB	DF_SIGN_FFRB_HESAB	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column FFRB_MODIR	DF_SIGN_FFRB_MODIR	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column FFRP_ANB	DF_SIGN_FFRP_ANB	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column FFRP_FROOSH	DF_SIGN_FFRP_FROOSH	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column FFRP_HESAB	DF_SIGN_FFRP_HESAB	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column FFRP_MODIR	DF_SIGN_FFRP_MODIR	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column KFR_BAZAR	DF_SIGN_KFR_BAZAR	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column KFR_HESAB	DF_SIGN_KFR_HESAB	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column KFR_MODIR	DF_SIGN_KFR_MODIR	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column KFRB_ANB	DF_SIGN_KFRB_ANB	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column KFRB_BAZAR	DF_SIGN_KFRB_BAZAR	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column KFRB_HESAB	DF_SIGN_KFRB_HESAB	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column KFRB_MODIR	DF_SIGN_KFRB_MODIR	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column RASM_HESAB	DF_SIGN_RASM_HESAB	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column RASM_MODIR	DF_SIGN_RASM_MODIR	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column SND_MALI	DF_SIGN_SND_MALI	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column SND_MODIR	DF_SIGN_SND_MODIR	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column SND_TAHI	DF_SIGN_SND_TAHI	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column USERCO	DF_SIGN_USERCO	(n/a)	(n/a)	(n/a)	(n/a)	((0))
PRIMARY KEY (clustered)	PK_SIGN	(n/a)	(n/a)	(n/a)	(n/a)	USERCO
